Phrases,Risk Level,Keywords
im lost and i dont know how to get back to my hotel,1,hotel know hotel
i cant find my way and its getting dark i dont know anyone around here,0,getting dark dark dont
i fell and injured my leg i cant move properly,0,injured leg fell injured
im experiencing severe pain and need immediate medical help,2,severe pain pain need
my passport and wallet have been stolen i dont have any money or id,1,wallet stolen passport wallet
someone just took my bag with all my documents and phone inside,0,bag documents documents phone
theres an earthquake happening and i dont know where to go for shelter,0,shelter theres earthquake
floodwaters are rising quickly and i need help to find safety,2,floodwaters rising floodwaters
someone is following me and i feel unsafe,0,feel unsafe unsafe
im being harassed and i dont feel safe i need immediate assistance,0,im harassed harassed dont
my car broke down on the highway and theres no help nearby,2,car broke broke highway
the rental bike has stopped working and im stranded on a deserted road,1,bike stopped rental bike
i slipped and hurt my ankle im alone and cant get up,0,hurt ankle slipped hurt
i had a bad fall and am bleeding i need medical assistance right away,2,fall bleeding bleeding need
i cant find my child in this crowded place theyve gone missing,0,child crowded gone missing
ive lost my friend in the city and they dont have a phone,1,lost friend friend city
i dont speak the language here and i need help urgently,2,help urgently urgently
i need emergency assistance but i cant communicate with anyone around me,2,emergency assistance need emergency
im feeling dizzy and nauseous and i might faint i need help,2,nauseous faint feeling dizzy
im having trouble breathing and need immediate medical attention,0,trouble breathing breathing need
i was bitten by an animal and i dont know if its dangerous,2,bitten animal bitten
theres a wild animal nearby and im scared it might attack,2,animal nearby wild animal
theres a fire in the building and i cant find an exit,2,building exit exit
im trapped in a room with smoke i need help to escape,2,help escape smoke need
the weather has suddenly turned severe and i cant find shelter,0,severe shelter shelter
im stuck outside in a storm with no place to go,1,outside storm stuck outside
someone attacked me and took my belongings i need the police,2,need police took belongings
ive just been robbed and am in shock i need someone to come help,2,just robbed robbed
i missed my flight and im stranded without a place to stay,1,missed flight im stranded
my train was canceled and theres no way back to my hotel,0,train canceled canceled
im lost in the forest and dont know which direction to go i need help asap,2,forest lost forest
im completely lost in the city please send someone to help me find my way,2,city send lost city
urgent my friend is unconscious and not responding need medical help immediately,2,friend unconscious unconscious responding
im in severe pain and need a doctor right away please help,2,need doctor severe pain
my passport and phone were stolen im stranded without id or money,1,phone stolen passport phone
emergency all my belongings were stolen and i have no way to contact anyone,2,belongings stolen emergency belongings
someone tried to attack me im in a dangerous area and feel unsafe,2,im dangerous dangerous area
i was threatened by a stranger and now im in an unsafe place need police,2,threatened stranger need police
there was an earthquake and i dont know if im safe here need to evacuate,0,need evacuate evacuate
floodwaters are rising and i need help to get to a safe place immediately,2,floodwaters rising floodwaters
