Keywords from survey,Situations,Phrases
I lost my purse while I went for a lunch,Lost in an unfamiliar area,"I'm lost, and I don’t know how to get back to my hotel"
Nuclear bomb,Medical emergency,"I can't find my way, and it's getting dark. I don’t know anyone around here"
Help,Stolen belongings,I fell and injured my leg; I can't move properly
Run,Natural disaster,I'm experiencing severe pain and need immediate medical help
Help please,Harassment or threat,My passport and wallet have been stolen. I don't have any money or ID
"urgent, tuk tuk driver, nearest clinic",Vehicle breakdown,Someone just took my bag with all my documents and phone inside
Hurry ,Accidental injury or fall,"There’s an earthquake happening, and I don’t know where to go for shelter"
I want help,Lost child or companion,"Floodwaters are rising quickly, and I need help to find safety"
"Help, Udau onne, Kela wuna",Language barrier and urgent need for assistance,"Someone is following me, and I feel unsafe"
"Injured, fallen, medicine, medication",Sudden illness,"I’m being harassed, and I don’t feel safe. I need immediate assistance"
Help or please help me ,Animal attack or dangerous wildlife,"My car broke down on the highway, and there’s no help nearby"
"SOS , Help ",Fire or smoke,"The rental bike has stopped working, and I’m stranded on a deserted road"
Help,Extreme weather conditions,I slipped and hurt my ankle. I’m alone and can't get up
"SOS , URGENT",Robbery or assault,I had a bad fall and am bleeding; I need medical assistance right away
"Hi, i am looking for help. ","Transportation issues (missed flight/train, etc.)",I can't find my child in this crowded place. They’ve gone missing
"Help needed immediately, call 911",,"I've lost my friend in the city, and they don’t have a phone"
Help,,"I don’t speak the language here, and I need help urgently"
"Help, please, emergency, please hurry",,"I need emergency assistance, but I can't communicate with anyone around me"
Help,,"I’m feeling dizzy and nauseous, and I might faint. I need help"
Help ,,I’m having trouble breathing and need immediate medical attention
Emergency,,"I was bitten by an animal, and I don’t know if it’s dangerous"
"Urgent,  immediate help needed",,"There's a wild animal nearby, and I’m scared it might attack"
Help,,"There’s a fire in the building, and I can’t find an exit"
"Emergency, help",,I’m trapped in a room with smoke; I need help to escape
Urgent or help needed,,"The weather has suddenly turned severe, and I can’t find shelter"
Please Help !,,I’m stuck outside in a storm with no place to go
Help it's an emergency someone stole my bag,,Someone attacked me and took my belongings. I need the police
help??,,I’ve just been robbed and am in shock; I need someone to come help
Urgent and life-threatening ,,"I missed my flight, and I’m stranded without a place to stay"
Help it’s dangerous ,,"My train was canceled, and there’s no way back to my hotel"
Please,,I’m lost in the forest and don’t know which direction to go. I need help ASAP
"Emergency, Urgent Help, Lost or Stolen, police, medicine",,I’m completely lost in the city. Please send someone to help me find my way
SOS,,Urgent! My friend is unconscious and not responding. Need medical help immediately
Emergency ,,I’m in severe pain and need a doctor right away. Please help
Call my mother ,,My passport and phone were stolen! I’m stranded without ID or money
Help me,,"Emergency! All my belongings were stolen, and I have no way to contact anyone"
Need help asap,,Someone tried to attack me. I’m in a dangerous area and feel unsafe
urgent ,,"I was threatened by a stranger, and now I’m in an unsafe place. Need police"
"Sick, unresponsive, unconscious ",,"There was an earthquake, and I don’t know if I’m safe here. Need to evacuate"
Location and cause ,,"Floodwaters are rising, and I need help to get to a safe place immediately"
"Emergency, help, quick, urgent, please",,I slipped and fell. I’m injured and bleeding. Please send urgent care
I'm in a trouble ,,I have a serious injury and can’t walk. Need help immediately
"Location, time",,I lost contact with my friend and can’t find them. Please help locate them
help! (in multiple languages)/ is there anyone here?/ can anyone here me?,,"My child is missing, and I need urgent help to find them"
"There is an emergency , see this weird thing happened to me",,I’m being stalked by someone and need urgent police assistance
urgent,,"I’m being harassed by someone, and I don’t feel safe. Need immediate help"
Emergency help support ,,"My car broke down on the road, and I’m stranded with no help nearby"
Help,,"My bike stopped working, and I’m in an isolated area. Need assistance"
"Help, Emergency ",,"There’s a storm, and I’m trapped outside. I can’t find shelter"
,,Extreme weather conditions here. I need help finding shelter quickly
,,"There’s a fire nearby, and I don’t know how to escape. Please send help"
,,I’m trapped in a building with fire. Need help getting out
,,"I was bitten by an animal, and I don’t know if it’s venomous. Please help"
,,"There’s dangerous wildlife around, and I feel at risk of an animal attack"
,,I feel like I’m about to faint and need medical help
,,I’m having difficulty breathing and need medical assistance immediately
,,"I’ve been robbed, and I need the police and some assistance"
,,Someone stole my bag. I need help contacting the police
,,I missed my bus and am now stranded with no money to get back
,,I’m broke and stranded in a place I don’t know. Please send help
,,I lost my purse while I was having lunch at the cafe
,,There’s been a nuclear explosion! Please help immediately
,,Help! Someone just grabbed my backpack and ran away
,,I’m injured and need medication urgently. Is there a clinic nearby
,,SOS! I’ve fallen and can’t move. Please send help now
,,Help! My child has gone missing near the tuk-tuk stand
,,"I need urgent help. The tuk-tuk driver is being aggressive, and I feel unsafe"
,,I’m in trouble. Can anyone hear me? It’s an emergency
,,"Please, hurry! Someone stole my bag, and I don’t know what to do"
,,Help me! I’m unresponsive and feeling very sick. I might faint
,,"Emergency! A stranger is following me, and I’m scared"
,,I need help right away. There’s a life-threatening situation at my location
,,"Hi, can someone call 911? I think I’ve been poisoned"
,,"Help, please! My friend is unconscious, and I need to get them to a hospital"
,,I’m lost in the city. Can someone help me find my way back to the hotel
,,"Help! I’ve had an accident, and my leg is bleeding badly"
,,SOS! I feel unsafe. Can you contact my mother right away
,,"There’s an emergency. I’m stuck in an unknown area, and my phone battery is dying"
,,Please help me! My wallet and passport are missing. I don’t know what to do
,,"Urgent! I’ve spotted a fire nearby, and it’s spreading quickly"
,,"Emergency! My phone is stolen, and I’m stranded without cash or identification"
,,Help! I’m being harassed on the street and need immediate assistance
,,Urgent! My travel partner is experiencing severe chest pain. I need medical help
