Phrases,spaCy_NER,KeyBERT
im lost and i dont know how to get back to my hotel,[],"['hotel', 'lost', 'im', 'dont', 'know']"
i cant find my way and its getting dark i dont know anyone around here,[],"['dark', 'dont', 'getting', 'way', 'know']"
i fell and injured my leg i cant move properly,[],"['leg', 'injured', 'fell', 'properly']"
im experiencing severe pain and need immediate medical help,[],"['pain', 'severe', 'immediate', 'medical', 'help']"
my passport and wallet have been stolen i dont have any money or id,[],"['passport', 'stolen', 'wallet', 'id', 'money']"
someone just took my bag with all my documents and phone inside,[],"['documents', 'bag', 'phone', 'inside', 'took']"
theres an earthquake happening and i dont know where to go for shelter,[],"['shelter', 'earthquake', 'dont', 'theres', 'happening']"
floodwaters are rising quickly and i need help to find safety,[],"['floodwaters', 'safety', 'rising', 'quickly', 'need']"
someone is following me and i feel unsafe,[],"['unsafe', 'following', 'feel']"
im being harassed and i dont feel safe i need immediate assistance,[],"['harassed', 'assistance', 'safe', 'need', 'im']"
my car broke down on the highway and theres no help nearby,[],"['broke', 'highway', 'car', 'nearby', 'help']"
the rental bike has stopped working and im stranded on a deserted road,[],"['bike', 'deserted', 'stranded', 'rental', 'road']"
i slipped and hurt my ankle im alone and cant get up,[],"['ankle', 'slipped', 'hurt', 'im']"
i had a bad fall and am bleeding i need medical assistance right away,[],"['bleeding', 'fall', 'assistance', 'medical', 'need']"
i cant find my child in this crowded place theyve gone missing,[],"['missing', 'child', 'place', 'crowded', 'gone']"
ive lost my friend in the city and they dont have a phone,[],"['phone', 'city', 'lost', 'friend', 'dont']"
i dont speak the language here and i need help urgently,[],"['urgently', 'help', 'need', 'language', 'speak']"
i need emergency assistance but i cant communicate with anyone around me,[],"['emergency', 'assistance', 'communicate', 'need']"
im feeling dizzy and nauseous and i might faint i need help,[],"['faint', 'dizzy', 'nauseous', 'feeling', 'help']"
im having trouble breathing and need immediate medical attention,[],"['breathing', 'medical', 'immediate', 'attention', 'need']"
i was bitten by an animal and i dont know if its dangerous,[],"['bitten', 'dangerous', 'animal', 'know', 'dont']"
theres a wild animal nearby and im scared it might attack,[],"['animal', 'scared', 'attack', 'wild', 'nearby']"
theres a fire in the building and i cant find an exit,[],"['exit', 'building', 'theres']"
im trapped in a room with smoke i need help to escape,[],"['escape', 'trapped', 'smoke', 'room', 'help']"
the weather has suddenly turned severe and i cant find shelter,[],"['shelter', 'weather', 'suddenly', 'severe', 'turned']"
im stuck outside in a storm with no place to go,[],"['storm', 'outside', 'stuck', 'place', 'im']"
someone attacked me and took my belongings i need the police,[],"['police', 'attacked', 'belongings', 'took', 'need']"
ive just been robbed and am in shock i need someone to come help,[],"['robbed', 'help', 'need', 'come', 'ive']"
i missed my flight and im stranded without a place to stay,[],"['stranded', 'flight', 'place', 'missed', 'stay']"
my train was canceled and theres no way back to my hotel,[],"['canceled', 'hotel', 'train', 'theres', 'way']"
im lost in the forest and dont know which direction to go i need help asap,[],"['forest', 'direction', 'lost', 'help', 'im']"
im completely lost in the city please send someone to help me find my way,[],"['city', 'lost', 'send', 'help', 'im']"
urgent my friend is unconscious and not responding need medical help immediately,[],"['unconscious', 'urgent', 'medical', 'need', 'immediately']"
im in severe pain and need a doctor right away please help,[],"['doctor', 'pain', 'severe', 'help', 'need']"
my passport and phone were stolen im stranded without id or money,[],"['passport', 'stolen', 'phone', 'stranded', 'id']"
emergency all my belongings were stolen and i have no way to contact anyone,[],"['belongings', 'stolen', 'emergency', 'contact', 'way']"
someone tried to attack me im in a dangerous area and feel unsafe,[],"['unsafe', 'attack', 'dangerous', 'area', 'tried']"
i was threatened by a stranger and now im in an unsafe place need police,[],"['threatened', 'police', 'unsafe', 'stranger', 'need']"
there was an earthquake and i dont know if im safe here need to evacuate,[],"['evacuate', 'earthquake', 'safe', 'im', 'dont']"
floodwaters are rising and i need help to get to a safe place immediately,[],"['floodwaters', 'rising', 'safe', 'place', 'need']"
i slipped and fell im injured and bleeding please send urgent care,[],"['slipped', 'fell', 'bleeding', 'injured', 'urgent']"
i have a serious injury and cant walk need help immediately,[],"['walk', 'injury', 'need', 'immediately', 'help']"
i lost contact with my friend and cant find them please help locate them,[],"['locate', 'contact', 'lost', 'friend', 'help']"
my child is missing and i need urgent help to find them,[],"['missing', 'child', 'urgent', 'need', 'help']"
im being stalked by someone and need urgent police assistance,[],"['stalked', 'police', 'urgent', 'assistance', 'need']"
im being harassed by someone and i dont feel safe need immediate help,[],"['harassed', 'safe', 'help', 'need', 'im']"
my car broke down on the road and im stranded with no help nearby,[],"['stranded', 'broke', 'car', 'road', 'nearby']"
my bike stopped working and im in an isolated area need assistance,[],"['bike', 'isolated', 'assistance', 'stopped', 'area']"
theres a storm and im trapped outside i cant find shelter,[],"['shelter', 'storm', 'outside', 'trapped', 'im']"
extreme weather conditions here i need help finding shelter quickly,[],"['shelter', 'weather', 'extreme', 'quickly', 'finding']"
theres a fire nearby and i dont know how to escape please send help,[],"['escape', 'help', 'nearby', 'dont', 'theres']"
im trapped in a building with fire need help getting out,[],"['trapped', 'building', 'help', 'im', 'getting']"
i was bitten by an animal and i dont know if its venomous please help,[],"['venomous', 'bitten', 'animal', 'help', 'know']"
theres dangerous wildlife around and i feel at risk of an animal attack,[],"['wildlife', 'dangerous', 'animal', 'risk', 'attack']"
i feel like im about to faint and need medical help,[],"['faint', 'feel', 'medical', 'help', 'need']"
im having difficulty breathing and need medical assistance immediately,[],"['breathing', 'assistance', 'medical', 'need', 'difficulty']"
ive been robbed and i need the police and some assistance,[],"['robbed', 'police', 'assistance', 'need', 'ive']"
someone stole my bag i need help contacting the police,[],"['bag', 'stole', 'police', 'contacting', 'need']"
i missed my bus and am now stranded with no money to get back,[],"['bus', 'stranded', 'missed', 'money']"
im broke and stranded in a place i dont know please send help,[],"['stranded', 'broke', 'place', 'help', 'send']"
i lost my purse while i was having lunch at the cafe,[],"['purse', 'cafe', 'lunch', 'lost', 'having']"
theres been a nuclear explosion please help immediately,[],"['explosion', 'nuclear', 'help', 'theres', 'immediately']"
help someone just grabbed my backpack and ran away,[],"['backpack', 'grabbed', 'ran', 'away', 'help']"
im injured and need medication urgently is there a clinic nearby,[],"['clinic', 'medication', 'urgently', 'injured', 'nearby']"
sos ive fallen and cant move please send help now,['sos'],"['fallen', 'help', 'send', 'sos', 'ive']"
help my child has gone missing near the tuktuk stand,[],"['tuktuk', 'child', 'missing', 'stand', 'near']"
i need urgent help the tuktuk driver is being aggressive and i feel unsafe,[],"['tuktuk', 'driver', 'unsafe', 'aggressive', 'urgent']"
im in trouble can anyone hear me its an emergency,[],"['emergency', 'trouble', 'hear', 'im']"
please hurry someone stole my bag and i dont know what to do,[],"['stole', 'bag', 'hurry', 'dont', 'know']"
help me im unresponsive and feeling very sick i might faint,[],"['faint', 'unresponsive', 'sick', 'feeling', 'help']"
emergency a stranger is following me and im scared,[],"['stranger', 'emergency', 'scared', 'following', 'im']"
i need help right away theres a lifethreatening situation at my location,[],"['lifethreatening', 'location', 'situation', 'away', 'help']"
hi can someone call 911 i think ive been poisoned,['911'],"['poisoned', '911', 'hi', 'ive', 'think']"
help please my friend is unconscious and i need to get them to a hospital,[],"['unconscious', 'hospital', 'need', 'help', 'friend']"
im lost in the city can someone help me find my way back to the hotel,[],"['hotel', 'city', 'lost', 'help', 'im']"
help ive had an accident and my leg is bleeding badly,[],"['bleeding', 'accident', 'leg', 'help', 'badly']"
sos i feel unsafe can you contact my mother right away,['sos'],"['unsafe', 'contact', 'mother', 'away', 'sos']"
theres an emergency im stuck in an unknown area and my phone battery is dying,[],"['emergency', 'battery', 'area', 'phone', 'stuck']"
please help me my wallet and passport are missing i dont know what to do,[],"['passport', 'wallet', 'missing', 'help', 'dont']"
urgent ive spotted a fire nearby and its spreading quickly,[],"['urgent', 'nearby', 'spreading', 'quickly', 'spotted']"
emergency my phone is stolen and im stranded without cash or identification,[],"['stolen', 'phone', 'emergency', 'stranded', 'identification']"
help im being harassed on the street and need immediate assistance,[],"['harassed', 'assistance', 'street', 'need', 'help']"
urgent my travel partner is experiencing severe chest pain i need medical help,[],"['chest', 'medical', 'severe', 'pain', 'travel']"
can anyone hear me im stuck on a hiking trail and lost my way,[],"['trail', 'hiking', 'hear', 'lost', 'stuck']"
help theres a dangerous animal near me and im scared to move,[],"['animal', 'scared', 'dangerous', 'help', 'near']"
im feeling sick and unresponsive i think i need medication urgently,[],"['medication', 'unresponsive', 'urgently', 'sick', 'feeling']"
theres been a robbery im injured and need help,[],"['robbery', 'injured', 'need', 'help', 'theres']"
please help me ive been stranded after missing my train in a foreign city,[],"['stranded', 'train', 'city', 'foreign', 'missing']"
someone is following me im scared and need help fast,[],"['scared', 'following', 'fast', 'help', 'im']"
help ive fallen off my bike and cant move my arm,[],"['bike', 'arm', 'fallen', 'help', 'ive']"
im lost need help cant find my hotel,[],"['hotel', 'lost', 'need', 'help', 'im']"
lost my way cant get back to the hostel,[],"['hostel', 'lost', 'way']"
need directions im completely lost,[],"['directions', 'need', 'im', 'lost', 'completely']"
cant find my way need help urgently,[],"['urgently', 'help', 'need', 'way']"
im stranded dont know anyone around here,[],"['stranded', 'im', 'dont', 'know']"
i fell and hurt my leg cant move pls help,[],"['leg', 'fell', 'hurt', 'pls', 'help']"
severe pain in my chest need doctor fast,[],"['chest', 'doctor', 'severe', 'pain', 'fast']"
bitten by an animal dont know if its dangerous,[],"['bitten', 'dangerous', 'animal', 'know', 'dont']"
i cant breathe someone help me now,[],"['breathe', 'help']"
bleeding badly had an accident need urgent help,[],"['bleeding', 'accident', 'urgent', 'need', 'help']"
my bag was stolen need police now,[],"['stolen', 'bag', 'police', 'need']"
someone stole my passport and wallet need help,[],"['passport', 'stole', 'wallet', 'help', 'need']"
im being followed feel unsafe pls send help,[],"['followed', 'unsafe', 'send', 'help', 'pls']"
i was harassed on the street need immediate assistance,[],"['harassed', 'assistance', 'street', 'need', 'immediate']"
someone tried to attack me need urgent help,[],"['attack', 'urgent', 'help', 'tried', 'need']"
earthquake happening need to find shelter,[],"['earthquake', 'shelter', 'need', 'happening']"
floodwaters rising fast need safety now,[],"['floodwaters', 'safety', 'rising', 'fast', 'need']"
trapped in a building with smoke help me escape,[],"['escape', 'smoke', 'trapped', 'building', 'help']"
there is a fire dont know where to go,[],"['dont', 'know']"
