Location,Activity,Budget Level,Interest Categories,Travelling with whom
Anuradhapura,Sri Maha Bodhi Tree,medium,"culture & heritage, spiritual & religious",friends
Anuradhapura,Sri Maha Bodhi Tree,low,"spiritual & religious, photography & arts",solo
Anuradhapura,Sri Maha Bodhi Tree,medium,"culture & heritage, spiritual & religious",partner
Anuradhapura,Sri Maha Bodhi Tree,medium,"spiritual & religious, culture & heritage",partner
Anuradhapura,Sri Maha Bodhi Tree,low,"photography & arts, spiritual & religious",solo
Anuradhapura,Sri Maha Bodhi Tree,medium,"culture & heritage, photography & arts",solo
Anuradhapura,Sri Maha Bodhi Tree,medium,"culture & heritage, spiritual & religious",family
Anuradhapura,Sri Maha Bodhi Tree,low,"spiritual & religious, photography & arts",solo
Anuradhapura,Sri Maha Bodhi Tree,medium,"spiritual & religious, culture & heritage",friends
Anuradhapura,Sri Maha Bodhi Tree,low,"photography & arts, spiritual & religious",friends
Anuradhapura,Sri Maha Bodhi Tree,high,"spiritual & religious, culture & heritage",solo
Anuradhapura,Sri Maha Bodhi Tree,high,"culture & heritage, spiritual & religious",friends
Anuradhapura,Sri Maha Bodhi Tree,low,"culture & heritage, photography & arts",partner
Anuradhapura,Sri Maha Bodhi Tree,low,"photography & arts, culture & heritage",solo
Anuradhapura,Sri Maha Bodhi Tree,high,"photography & arts, spiritual & religious",friends
Anuradhapura,Ruwanwelisaya Stupa,low,"education & learning, culture & heritage",friends
Anuradhapura,Ruwanwelisaya Stupa,low,"culture & heritage, education & learning",family
Anuradhapura,Ruwanwelisaya Stupa,medium,"spiritual & religious, education & learning",solo
Anuradhapura,Ruwanwelisaya Stupa,medium,"culture & heritage, education & learning",partner
Anuradhapura,Ruwanwelisaya Stupa,high,"culture & heritage, education & learning",partner
Anuradhapura,Ruwanwelisaya Stupa,high,"spiritual & religious, education & learning",solo
Anuradhapura,Ruwanwelisaya Stupa,medium,"education & learning, spiritual & religious",solo
Anuradhapura,Ruwanwelisaya Stupa,medium,"spiritual & religious, culture & heritage",partner
Anuradhapura,Ruwanwelisaya Stupa,medium,"education & learning, culture & heritage",friends
Anuradhapura,Ruwanwelisaya Stupa,medium,"culture & heritage, education & learning",partner
Anuradhapura,Ruwanwelisaya Stupa,high,"education & learning, culture & heritage",solo
Anuradhapura,Ruwanwelisaya Stupa,medium,"education & learning, spiritual & religious",family
Anuradhapura,Ruwanwelisaya Stupa,high,"education & learning, culture & heritage",partner
Anuradhapura,Ruwanwelisaya Stupa,low,"culture & heritage, spiritual & religious",partner
Anuradhapura,Ruwanwelisaya Stupa,medium,"education & learning, spiritual & religious",solo
Anuradhapura,Jetavanaramaya,medium,"spiritual & religious, culture & heritage",solo
Anuradhapura,Jetavanaramaya,low,"spiritual & religious, culture & heritage",partner
Anuradhapura,Jetavanaramaya,medium,"culture & heritage, photography & arts",partner
Anuradhapura,Jetavanaramaya,high,"culture & heritage, spiritual & religious",family
Anuradhapura,Jetavanaramaya,low,"spiritual & religious, photography & arts",friends
Anuradhapura,Jetavanaramaya,high,"spiritual & religious, culture & heritage",friends
Anuradhapura,Jetavanaramaya,high,"photography & arts, culture & heritage",friends
Anuradhapura,Jetavanaramaya,medium,"photography & arts, culture & heritage",partner
Anuradhapura,Jetavanaramaya,high,"photography & arts, spiritual & religious",partner
Anuradhapura,Jetavanaramaya,medium,"spiritual & religious, photography & arts",solo
Anuradhapura,Jetavanaramaya,high,"culture & heritage, spiritual & religious",friends
Anuradhapura,Jetavanaramaya,low,"spiritual & religious, photography & arts",solo
Anuradhapura,Jetavanaramaya,low,"culture & heritage, spiritual & religious",family
Anuradhapura,Jetavanaramaya,medium,"spiritual & religious, photography & arts",solo
Anuradhapura,Jetavanaramaya,low,"spiritual & religious, photography & arts",friends
Anuradhapura,Thuparamaya Stupa,low,"culture & heritage, photography & arts",friends
Anuradhapura,Thuparamaya Stupa,low,"photography & arts, culture & heritage",family
Anuradhapura,Thuparamaya Stupa,high,"spiritual & religious, culture & heritage",family
Anuradhapura,Thuparamaya Stupa,medium,"culture & heritage, photography & arts",partner
Anuradhapura,Thuparamaya Stupa,low,"culture & heritage, photography & arts",friends
Anuradhapura,Thuparamaya Stupa,high,"spiritual & religious, photography & arts",family
Anuradhapura,Thuparamaya Stupa,medium,"culture & heritage, spiritual & religious",family
Anuradhapura,Thuparamaya Stupa,high,"culture & heritage, photography & arts",friends
Anuradhapura,Thuparamaya Stupa,low,"photography & arts, culture & heritage",family
Anuradhapura,Thuparamaya Stupa,medium,"spiritual & religious, photography & arts",friends
Anuradhapura,Thuparamaya Stupa,low,"spiritual & religious, photography & arts",partner
Anuradhapura,Thuparamaya Stupa,medium,"spiritual & religious, culture & heritage",solo
Anuradhapura,Thuparamaya Stupa,medium,"culture & heritage, photography & arts",solo
Anuradhapura,Thuparamaya Stupa,high,"culture & heritage, photography & arts",solo
Anuradhapura,Thuparamaya Stupa,medium,"culture & heritage, photography & arts",friends
Anuradhapura,Abhayagiri Monastery,medium,"education & learning, culture & heritage",friends
Anuradhapura,Abhayagiri Monastery,low,"education & learning, culture & heritage",family
Anuradhapura,Abhayagiri Monastery,low,"culture & heritage, education & learning",solo
Anuradhapura,Abhayagiri Monastery,high,"culture & heritage, spiritual & religious",friends
Anuradhapura,Abhayagiri Monastery,low,"spiritual & religious, education & learning",partner
Anuradhapura,Abhayagiri Monastery,low,"education & learning, spiritual & religious",family
Anuradhapura,Abhayagiri Monastery,low,"education & learning, spiritual & religious",family
Anuradhapura,Abhayagiri Monastery,high,"education & learning, culture & heritage",solo
Anuradhapura,Abhayagiri Monastery,medium,"education & learning, culture & heritage",solo
Anuradhapura,Abhayagiri Monastery,low,"spiritual & religious, education & learning",family
Anuradhapura,Abhayagiri Monastery,medium,"education & learning, culture & heritage",partner
Anuradhapura,Abhayagiri Monastery,high,"spiritual & religious, education & learning",partner
Anuradhapura,Abhayagiri Monastery,low,"education & learning, culture & heritage",partner
Anuradhapura,Abhayagiri Monastery,medium,"spiritual & religious, education & learning",friends
Anuradhapura,Abhayagiri Monastery,medium,"education & learning, culture & heritage",family
Anuradhapura,Mihintale,low,"adventure & sports, nature & wildlife",solo
Anuradhapura,Mihintale,low,"spiritual & religious, nature & wildlife",family
Anuradhapura,Mihintale,medium,"nature & wildlife, spiritual & religious",partner
Anuradhapura,Mihintale,high,"nature & wildlife, adventure & sports",partner
Anuradhapura,Mihintale,low,"adventure & sports, spiritual & religious",solo
Anuradhapura,Mihintale,high,"nature & wildlife, adventure & sports",family
Anuradhapura,Mihintale,medium,"nature & wildlife, adventure & sports",solo
Anuradhapura,Mihintale,medium,"spiritual & religious, adventure & sports",partner
Anuradhapura,Mihintale,low,"adventure & sports, nature & wildlife",partner
Anuradhapura,Mihintale,medium,"adventure & sports, nature & wildlife",partner
Anuradhapura,Mihintale,low,"adventure & sports, nature & wildlife",family
Anuradhapura,Mihintale,medium,"spiritual & religious, adventure & sports",family
Anuradhapura,Mihintale,medium,"spiritual & religious, adventure & sports",family
Anuradhapura,Mihintale,low,"spiritual & religious, adventure & sports",friends
Anuradhapura,Mihintale,high,"spiritual & religious, nature & wildlife",friends
Anuradhapura,Isurumuniya Temple,medium,"photography & arts, spiritual & religious",partner
Anuradhapura,Isurumuniya Temple,low,"spiritual & religious, culture & heritage",family
Anuradhapura,Isurumuniya Temple,medium,"photography & arts, culture & heritage",family
Anuradhapura,Isurumuniya Temple,medium,"culture & heritage, photography & arts",friends
Anuradhapura,Isurumuniya Temple,medium,"photography & arts, culture & heritage",friends
Anuradhapura,Isurumuniya Temple,medium,"photography & arts, spiritual & religious",solo
Anuradhapura,Isurumuniya Temple,low,"photography & arts, culture & heritage",friends
Anuradhapura,Isurumuniya Temple,high,"photography & arts, culture & heritage",family
Anuradhapura,Isurumuniya Temple,high,"culture & heritage, photography & arts",partner
Anuradhapura,Isurumuniya Temple,medium,"culture & heritage, photography & arts",solo
Anuradhapura,Isurumuniya Temple,low,"spiritual & religious, culture & heritage",friends
