Phrases,Risk Level
"I'm lost, and I don’t know how to get back to my hotel",Medium
"I can't find my way, and it's getting dark. I don’t know anyone around here",Low
I fell and injured my leg; I can't move properly,Low
I'm experiencing severe pain and need immediate medical help,High
My passport and wallet have been stolen. I don't have any money or ID,Medium
Someone just took my bag with all my documents and phone inside,Low
"There’s an earthquake happening, and I don’t know where to go for shelter",Low
"Floodwaters are rising quickly, and I need help to find safety",High
"Someone is following me, and I feel unsafe",Low
"I’m being harassed, and I don’t feel safe. I need immediate assistance",Low
"My car broke down on the highway, and there’s no help nearby",High
"The rental bike has stopped working, and I’m stranded on a deserted road",Medium
I slipped and hurt my ankle. I’m alone and can't get up,Low
I had a bad fall and am bleeding; I need medical assistance right away,High
I can't find my child in this crowded place. They’ve gone missing,Low
"I've lost my friend in the city, and they don’t have a phone",Medium
"I don’t speak the language here, and I need help urgently",High
"I need emergency assistance, but I can't communicate with anyone around me",High
"I’m feeling dizzy and nauseous, and I might faint. I need help",High
I’m having trouble breathing and need immediate medical attention,Low
"I was bitten by an animal, and I don’t know if it’s dangerous",High
"There's a wild animal nearby, and I’m scared it might attack",High
"There’s a fire in the building, and I can’t find an exit",High
I’m trapped in a room with smoke; I need help to escape,High
"The weather has suddenly turned severe, and I can’t find shelter",Low
I’m stuck outside in a storm with no place to go,Medium
Someone attacked me and took my belongings. I need the police,High
I’ve just been robbed and am in shock; I need someone to come help,High
"I missed my flight, and I’m stranded without a place to stay",Medium
"My train was canceled, and there’s no way back to my hotel",Low
I’m lost in the forest and don’t know which direction to go. I need help ASAP,High
I’m completely lost in the city. Please send someone to help me find my way,High
Urgent! My friend is unconscious and not responding. Need medical help immediately,High
I’m in severe pain and need a doctor right away. Please help,High
My passport and phone were stolen! I’m stranded without ID or money,Medium
"Emergency! All my belongings were stolen, and I have no way to contact anyone",High
Someone tried to attack me. I’m in a dangerous area and feel unsafe,High
"I was threatened by a stranger, and now I’m in an unsafe place. Need police",High
"There was an earthquake, and I don’t know if I’m safe here. Need to evacuate",Low
"Floodwaters are rising, and I need help to get to a safe place immediately",High
I slipped and fell. I’m injured and bleeding. Please send urgent care,High
I have a serious injury and can’t walk. Need help immediately,High
I lost contact with my friend and can’t find them. Please help locate them,High
"My child is missing, and I need urgent help to find them",High
I’m being stalked by someone and need urgent police assistance,High
"I’m being harassed by someone, and I don’t feel safe. Need immediate help",High
"My car broke down on the road, and I’m stranded with no help nearby",High
"My bike stopped working, and I’m in an isolated area. Need assistance",Low
"There’s a storm, and I’m trapped outside. I can’t find shelter",Low
Extreme weather conditions here. I need help finding shelter quickly,High
"There’s a fire nearby, and I don’t know how to escape. Please send help",High
I’m trapped in a building with fire. Need help getting out,High
"I was bitten by an animal, and I don’t know if it’s venomous. Please help",High
"There’s dangerous wildlife around, and I feel at risk of an animal attack",High
I feel like I’m about to faint and need medical help,High
I’m having difficulty breathing and need medical assistance immediately,Low
"I’ve been robbed, and I need the police and some assistance",High
Someone stole my bag. I need help contacting the police,High
I missed my bus and am now stranded with no money to get back,Medium
I’m broke and stranded in a place I don’t know. Please send help,High
I lost my purse while I was having lunch at the cafe,Medium
There’s been a nuclear explosion! Please help immediately,High
Help! Someone just grabbed my backpack and ran away,High
I’m injured and need medication urgently. Is there a clinic nearby,Low
SOS! I’ve fallen and can’t move. Please send help now,High
Help! My child has gone missing near the tuk-tuk stand,High
"I need urgent help. The tuk-tuk driver is being aggressive, and I feel unsafe",High
I’m in trouble. Can anyone hear me? It’s an emergency,High
"Please, hurry! Someone stole my bag, and I don’t know what to do",Low
Help me! I’m unresponsive and feeling very sick. I might faint,High
"Emergency! A stranger is following me, and I’m scared",High
I need help right away. There’s a life-threatening situation at my location,High
"Hi, can someone call 911? I think I’ve been poisoned",Low
"Help, please! My friend is unconscious, and I need to get them to a hospital",High
I’m lost in the city. Can someone help me find my way back to the hotel,High
"Help! I’ve had an accident, and my leg is bleeding badly",High
SOS! I feel unsafe. Can you contact my mother right away,Low
"There’s an emergency. I’m stuck in an unknown area, and my phone battery is dying",High
Please help me! My wallet and passport are missing. I don’t know what to do,High
"Urgent! I’ve spotted a fire nearby, and it’s spreading quickly",High
"Emergency! My phone is stolen, and I’m stranded without cash or identification",High
Help! I’m being harassed on the street and need immediate assistance,High
Urgent! My travel partner is experiencing severe chest pain. I need medical help,High
Can anyone hear me? I’m stuck on a hiking trail and lost my way,Medium
"Help! There’s a dangerous animal near me, and I’m scared to move",High
I’m feeling sick and unresponsive. I think I need medication urgently,Low
There’s been a robbery! I’m injured and need help,High
Please help me! I’ve been stranded after missing my train in a foreign city,High
Someone is following me. I’m scared and need help fast,High
Help! I’ve fallen off my bike and can’t move my arm,High
im lost need help cant find my hotel,High
lost my way cant get back to the hostel,Medium
need directions im completely lost,Medium
cant find my way need help urgently,High
im stranded dont know anyone around here,Medium
i fell and hurt my leg cant move pls help,High
severe pain in my chest need doctor fast,Low
bitten by an animal dont know if its dangerous,High
i cant breathe someone help me now,High
bleeding badly had an accident need urgent help,High
my bag was stolen need police now,High
someone stole my passport and wallet need help,High
im being followed feel unsafe pls send help,High
i was harassed on the street need immediate assistance,Low
someone tried to attack me need urgent help,High
earthquake happening need to find shelter,Low
floodwaters rising fast need safety now,Low
trapped in a building with smoke help me escape,High
there is a fire dont know where to go,High
stuck outside in a storm need help asap,High
cant find my child in the crowd pls help,High
my friend is missing dont know where they are,Low
lost my group in the city need help finding them,High
my kid is gone missing near the park pls hurry,Low
lost contact with my travel partner need help,High
car broke down on the highway no help nearby,High
my rental bike stopped working stranded on the road,Medium
missed my bus stuck with no way back,Medium
train got canceled need assistance to find transport,Low
bike stopped in an isolated area pls send help,High
dont speak the language cant ask for help,High
need emergency assistance cant communicate here,High
cant talk properly need someone to help me now,High
unable to explain my issue need urgent help,High
dont understand signs around me completely lost,Medium
ayuda me perdi necesito ayuda urgente (Spanish),Low
je suis perdu besoin daide immediatement (French),Low
ich habe mich verirrt bitte hilfe (German),Low
wo shiqule wo de qianbao qing bangzhu (Mandarin),Low
udau onne kela wuna mata udauyangenawa (Sinhala),Low
hlp me cant find my way bck,Low
pls hlp stranded no id no money,Medium
need hlp asap bitten by animal,Low
cant brth need dr fast pls,Low
som1 is stalking me hlp now,Low
help sos need assistance now,High
pls hurry its an emergency,High
sos urgent need help asap,High
someone pls hear me and help,High
emergency pls send support now,High
I need help finding my way back I’ve completely lost my location,High
There’s a group of strangers acting suspiciously around me I feel unsafe,Medium
I’m in a crowded market and someone just stole my bag,Low
A fire broke out near me and I don’t know where to go,High
I lost my phone and wallet and don’t know how to contact anyone,Medium
My bike chain broke and I’m stuck in the middle of nowhere,Medium
A wild animal appeared on the trail and I’m too scared to move,Low
Someone is aggressively shouting at me I need help fast,High
I’m stranded at the train station and it’s getting late,Medium
A man just approached me with threats I need help,High
There’s a landslide blocking the road I’m stuck here,Medium
I think I’m having an allergic reaction My face is swelling and I need help,High
I’ve been pickpocketed and now I don’t have any cash left,Low
I can’t find my tour group and I’m lost in this huge museum,Medium
There’s a strong smell of gas in this building I think it’s dangerous,High
I slipped on the stairs and can’t put weight on my leg,Low
I was crossing the street and my backpack got stuck in a tuk-tuk I need help,High
Someone tried to snatch my phone but ran away I’m really shaken up,Low
I’m experiencing severe chest pain and can’t breathe properly,Low
A stranger won’t stop following me. I’m scared for my safety,Low
There’s been an accident nearby and I’m trapped in the middle of it,High
My travel partner wandered off and I can’t find them anywhere,Low
The road is completely blocked by water and I can’t find a safe way around,Low
I think I broke my arm I need immediate medical assistance,Low
The driver isn’t stopping the car even though I asked them to pull over,Low
I feel faint and might pass out I need someone to come quickly,Low
The campsite is flooded and I can’t get back to the main road,Low
I’m stuck in this elevator and I can’t get a signal to call for help,High
A strange man just tried to grab me I ran away but I’m still scared,Low
I was hiking alone and I’ve twisted my ankle I can’t walk anymore,Low
I feel like I’m being followed by someone Can someone come here,Medium
My child wandered off into the woods and I can’t find them,Low
I’ve been in a car accident and I can’t open the door to get out,High
A street vendor started threatening me after I refused to buy something,Medium
