Phrases,Risk Level
im lost and i dont know how to get back to my hotel,1
i cant find my way and its getting dark i dont know anyone around here,0
i fell and injured my leg i cant move properly,0
im experiencing severe pain and need immediate medical help,2
my passport and wallet have been stolen i dont have any money or id,1
someone just took my bag with all my documents and phone inside,0
theres an earthquake happening and i dont know where to go for shelter,0
floodwaters are rising quickly and i need help to find safety,2
someone is following me and i feel unsafe,0
im being harassed and i dont feel safe i need immediate assistance,0
my car broke down on the highway and theres no help nearby,2
the rental bike has stopped working and im stranded on a deserted road,1
i slipped and hurt my ankle im alone and cant get up,0
i had a bad fall and am bleeding i need medical assistance right away,2
i cant find my child in this crowded place theyve gone missing,0
ive lost my friend in the city and they dont have a phone,1
i dont speak the language here and i need help urgently,2
i need emergency assistance but i cant communicate with anyone around me,2
im feeling dizzy and nauseous and i might faint i need help,2
im having trouble breathing and need immediate medical attention,0
i was bitten by an animal and i dont know if its dangerous,2
theres a wild animal nearby and im scared it might attack,2
theres a fire in the building and i cant find an exit,2
im trapped in a room with smoke i need help to escape,2
the weather has suddenly turned severe and i cant find shelter,0
im stuck outside in a storm with no place to go,1
someone attacked me and took my belongings i need the police,2
ive just been robbed and am in shock i need someone to come help,2
i missed my flight and im stranded without a place to stay,1
my train was canceled and theres no way back to my hotel,0
im lost in the forest and dont know which direction to go i need help asap,2
im completely lost in the city please send someone to help me find my way,2
urgent my friend is unconscious and not responding need medical help immediately,2
im in severe pain and need a doctor right away please help,2
my passport and phone were stolen im stranded without id or money,1
emergency all my belongings were stolen and i have no way to contact anyone,2
someone tried to attack me im in a dangerous area and feel unsafe,2
i was threatened by a stranger and now im in an unsafe place need police,2
there was an earthquake and i dont know if im safe here need to evacuate,0
floodwaters are rising and i need help to get to a safe place immediately,2
i slipped and fell im injured and bleeding please send urgent care,2
i have a serious injury and cant walk need help immediately,2
i lost contact with my friend and cant find them please help locate them,2
my child is missing and i need urgent help to find them,2
im being stalked by someone and need urgent police assistance,2
im being harassed by someone and i dont feel safe need immediate help,2
my car broke down on the road and im stranded with no help nearby,2
my bike stopped working and im in an isolated area need assistance,0
theres a storm and im trapped outside i cant find shelter,0
extreme weather conditions here i need help finding shelter quickly,2
theres a fire nearby and i dont know how to escape please send help,2
im trapped in a building with fire need help getting out,2
i was bitten by an animal and i dont know if its venomous please help,2
theres dangerous wildlife around and i feel at risk of an animal attack,2
i feel like im about to faint and need medical help,2
im having difficulty breathing and need medical assistance immediately,0
ive been robbed and i need the police and some assistance,2
someone stole my bag i need help contacting the police,2
i missed my bus and am now stranded with no money to get back,1
im broke and stranded in a place i dont know please send help,2
i lost my purse while i was having lunch at the cafe,1
theres been a nuclear explosion please help immediately,2
help someone just grabbed my backpack and ran away,2
im injured and need medication urgently is there a clinic nearby,0
sos ive fallen and cant move please send help now,2
help my child has gone missing near the tuktuk stand,2
i need urgent help the tuktuk driver is being aggressive and i feel unsafe,2
im in trouble can anyone hear me its an emergency,2
please hurry someone stole my bag and i dont know what to do,0
help me im unresponsive and feeling very sick i might faint,2
emergency a stranger is following me and im scared,2
i need help right away theres a lifethreatening situation at my location,2
hi can someone call 911 i think ive been poisoned,0
help please my friend is unconscious and i need to get them to a hospital,2
im lost in the city can someone help me find my way back to the hotel,2
help ive had an accident and my leg is bleeding badly,2
sos i feel unsafe can you contact my mother right away,0
theres an emergency im stuck in an unknown area and my phone battery is dying,2
please help me my wallet and passport are missing i dont know what to do,2
urgent ive spotted a fire nearby and its spreading quickly,2
emergency my phone is stolen and im stranded without cash or identification,2
help im being harassed on the street and need immediate assistance,2
urgent my travel partner is experiencing severe chest pain i need medical help,2
can anyone hear me im stuck on a hiking trail and lost my way,1
help theres a dangerous animal near me and im scared to move,2
im feeling sick and unresponsive i think i need medication urgently,0
theres been a robbery im injured and need help,2
please help me ive been stranded after missing my train in a foreign city,2
someone is following me im scared and need help fast,2
help ive fallen off my bike and cant move my arm,2
im lost need help cant find my hotel,2
lost my way cant get back to the hostel,1
need directions im completely lost,1
cant find my way need help urgently,2
