Location,Activity
Anuradhapura,"Sri Maha Bodhi Tree, Ruwanwelisaya Stupa, Jetavanaramaya, Thuparamaya Stupa, Abhayagiri Monastery, Mihintale, Isurumuniya Temple, Samadhi Buddha Statue, Kuttam Pokuna (Twin Ponds), Lovamahapaya (Brazen Palace), Day Excursion to Polannaruwa, Day Excursion to Trincomalee, Day Excursion to Sigiriya "
Arugam Bay,"Arugam Bay Beach (Surfing Paradise), Peanut Farm Beach, Elephant Rock, Muhudu Maha Viharaya, Kumana National Park, Whisky Point, Pottuvil Lagoon"
Bentota,"Bentota Beach, Kosgoda Turtle Hatchery, Exhilarating Madu River cruise to witness mangroves many small islands cinnamon plantation and the fish therapy, Water sports including Jet Ski Banana boat ride tube ride canoeing etc , Kanda Vihara Temple, Souvenir & gift shop, Spice and herbal garden, Mask Factory, Moon stone mines, Day Excursion to Galle, Glass-bottomed boat ride to witness coral reeves, Snorkeling and diving, Galapata Vihara Temple, Bentota River Safari, Lunuganga Estate (Geoffrey Bawas Estate), Brief Garden (Bevis Bawas Garden), Day excursion to see whales and dolphins in Mirissa, Fishing boat tour, Ketchimale mosque, China Fort Gem Market, Visit to an orphanage"
Colombo,"Galle Face Green, Gangaramaya Temple, Independence Square and Memorial Hall, Independence Musuem, National Museum of Colombo, Viharamahadevi Park, Pettah Market, Shopping Malls-One Galle Face Colombo City Centre, Nelum Pokuna Theatre, Lotus Tower and Pixel Bloom, Old Parliament Building, Dutch Hospital - Shopping Precinct , Jami Ul-Alfar Mosque (Red Mosque) , Colombo Port City, Day Excursion to Negombo, Day Excursion to Bentota, Day Excursion to Galle, Day Excursion to Kandy, Gem Museum and lapidary, Go Shopping spree find the best garments, Day Excursion to Pinnawala Elephant Orphanage, Day excursion to Pearl Bay Waterpark & Karting Track, Mount Lavinia Beach, Diyatha Uyana, War cemetery"
Ella,"Onboard a train from Nanuoya to Ella to witness the mesmerizing scenery , Nine Arches Bridge, Little Adams Peak, Ella Rock, Ravana Falls, Ravana Cave, Flying Ravana Mega Zipline, Ella Swing-sneak peak view of Ella and around, Demodara Loop, Day excursion to Haputale and visit Liptons Seat view point, Day excursion to Nuwara Eliya, Day excursion to Hatton, Day excursion to Udawalawe National Park, Day excursion to Kitulgala to enjoy the white-water rafting, Dhowa Rock Temple"
Galle,"Galle Fort, Galle Lighthouse, Dutch Reformed Church, National Maritime Museum, Unawatuna Beach, Meeran Mosque, Historical Mansion Museum, Day Excursion to Mirissa to see whales and dolphins, Day Excursion to Bentota. Engage in water sports snorkeling etc, Day Excursion to Balapitiya to engage in Madhu river cruise turtle hatchery and Mask Museum, Day Excursion to Hikkaduwa, Day Excursion to Yala National Park, Engage in cycling tour in a humble village, Take a vintage car tour around Galle Fort, Jungle Beach, Japanese Peace Pagoda, Rumassala Hill, Koggala Lake, Galle Cricket Stadium"
Hambantota,"Bundala National Park, Ridiyagama Safari Park, Hambantota Salt Pans, Rekawa Turtle Watch, Kalametiya Bird Sanctuary, Hiriketiya Beach, Day Excursion to Galle, Day Excursion to Yala National Park, Day Excursion to Ella, Magampura Mahinda Rajapaksa Port, Dry Zone Botanical Garden"
Hatton,"Adams Peak (Sri Pada), Castlereagh Reservoir, Devon Falls, St. Clairs Falls, Warleigh Church, Laxapana Falls, Mlesna Tea Castle, Christ Church Warleigh"
Hatton  ,Witness the breathtaking views of carpeted tea plantation
Jaffna,"Jaffna Fort, Nallur Kandaswamy Temple, Nagadeepa Purana Vihara, Keerimalai Natural Springs, Jaffna Public Library, Delft Island, Point Pedro, Chundikulam National Park, Casuarina Beach, University of Jaffna and surrounding area, Try out popular Rio Ice Cream"
