Product ID,Product Name,Category,Price,Description
302,Compression Travel Socks by Maze socks,Health,2996.75,"Reduces swelling and leg fatigue on long flights Comfortable, breathable fabric."
303,Anker Solar Power Bank,Electronics,15496.75,"High-capacity solar power bank for charging devices outdoors Dual USB outputs, water-resistant design."
305,Travis Touch Go Translator Device,Electronics,39996.75,"Translates up to 100 languages instantly for smooth communication Portable, easy to use with voice recognition."
307,Etekcity Digital Luggage Scale,Electronics,2746.75,"Digital scale prevents excess luggage fees on flights Compact, easy-to-read display with battery included."
309,Trtl Neck Support Pillow,Health,5746.75,"Scientifically designed for neck support on flights.Compact and easy to attach to luggage."
311,Garmin eTrex 10 GPS Navigator,Electronics,29996.75,"Rugged, handheld GPS for remote hiking and exploration.High-sensitivity GPS receiver with a long battery life."
315,Sunday Afternoons Ultra Adventure Hat,Clothing,5746.75,"Wide-brim hat with UPF 50+ sun protection.Breathable and foldable for easy packing."
318,EPICKA Universal Travel Adapter,Electronics,4746.75,"Works with outlets in over 150 countries, includes USB ports.Lightweight and surge-protected."
319,Temdan Waterproof Phone Case,Electronics,3746.75,"Keeps phones safe in wet conditions up to 100 feet deep.Touchscreen compatible, IPX8 certified."
322,Exped SynMat Camping Mattress,Camping Gear,23496.75,"Insulated camping mattress for comfortable sleeping outdoors.Packs down small, includes an integrated pump."
324,Verilux CleanWave Portable Sanitizer Wand,Electronics,9496.75,"Kills 99.9% of germs on surfaces using UV light.Compact and USB rechargeable."
327,Black Diamond Spot 350 Headlamp,Electronics,7246.75,"Powerful LED headlamp with adjustable brightness for night hikes.Weather-resistant and long battery life."
328,EasyAcc Mini Portable Fan,Electronics,2496.75,"Small USB rechargeable fan for staying cool.Portable, with adjustable speed settings."
329,Columbia Men’s Watertight II Jacket,Clothing,17746.75,"Waterproof jacket perfect for unpredictable weather.Lightweight and packs down small."
334,CamelBak Crux Hydration Bladder,Camping Gear,5246.75,"Hands-free hydration, compatible with most backpacks.BPA-free with leak-proof cap."
335,Fugetek Selfie Stick Tripod,Electronics,3746.75,"Versatile selfie stick with tripod functionality.Bluetooth remote and adjustable height."
337,Hypervolt GO 2 Massage Gun,Health,29996.75,"Portable massage gun for muscle recovery on the go.Compact and quiet with multiple speed settings."
338,Neutrogena Ultra Sheer Dry-Touch Sunscreen,Health,1996.75,"SPF 55 sunscreen for high UV exposure.Non-greasy, water-resistant formula."
